Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.26428571428571435	2.9882576737975732	-11.981065870155504
4.0	0.9042857142857144	-4.325505846589373	-2.861021013348079
5.0	0.9042857142857144	-6.69555095612399	-11.77818426107937
6.0	0.14142857142857143	10.930202617740125	-11.947925207609163
7.0	0.9042857142857144	-6.703898816594655	2.9858660710940352
8.0	0.1685714285714286	1.7941558708306413	-6.050391984579766
9.0	0.37714285714285717	-1.3285644574030153	-7.777149965973536
10.0	0.13285714285714287	7.054344030541881	-7.647669665565688
11.0	0.9042857142857144	0.22284482990595375	2.049839864103296
12.0	0.9042857142857144	-2.8279514468809204	1.5178084412423942
