Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	-4.529700034091759	-7.6430092804196965
4.0	0.9042857142857144	-6.259375438601547	1.2638400620687698
5.0	0.1557142857142857	5.083976156125921	-11.977710211371612
6.0	0.862857142857143	0.7811438291085446	-2.591462980443671
7.0	0.14	10.868903772386965	-9.59733899337979
8.0	0.9042857142857144	-7.0	-12.0
9.0	0.9042857142857144	11.0	3.0
10.0	0.9042857142857144	-7.0	-3.5659935876500013
11.0	0.9042857142857144	-1.2746044990725134	3.0
12.0	0.1342857142857143	4.068941602417946	-7.734492503061131
