Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	-4.666293686501807	0.6363622478941107
4.0	0.5357142857142858	-1.6018998305494323	-7.985307347577163
5.0	0.14428571428571427	6.678327649073008	-11.993073662234838
6.0	0.8900000000000001	1.8141866341576964	-2.336107866562889
7.0	0.9042857142857144	-6.988674711073829	-11.589741074342191
8.0	0.9042857142857144	-6.992036765782174	-4.543042871694014
9.0	0.13999999999999999	11.0	-10.161856777149493
10.0	0.14285714285714288	3.60102146545284	-7.065797155869716
11.0	0.8128571428571428	0.10745184191296886	-3.6566378821781704
12.0	0.9042857142857144	-3.1341647924979563	-8.110301386588606
