Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	0.22480620155038755	0.25863305	20.0	30.0	2.0	2.0
2.0	0.1472868217054264	0.73705968	60.0	60.0	3.0	5.0
3.0	0.40051679586563305	0.7164915512258431	10.0	10.0	2.0	1.0
4.0	0.4547803617571059	0.7164915512258431	10.0	20.0	2.0	5.0
5.0	0.28682170542635654	0.7164915512258431	10.0	30.0	5.0	1.0
6.0	0.5762273901808785	0.7164915512258431	10.0	40.0	2.0	1.0
7.0	0.4366925064599483	0.7164915512258431	10.0	50.0	2.0	4.0
8.0	0.4470284237726099	0.7164915512258431	10.0	60.0	2.0	1.0
9.0	0.37467700242996216	0.7164915512258431	10.0	70.0	2.0	4.0
10.0	0.5762273901808785	0.7164915512258431	10.0	80.0	2.0	1.0
11.0	0.4160206718346253	0.7164915512258431	10.0	90.0	2.0	4.0
12.0	0.3178294573643411	0.7164915512258431	10.0	100.0	2.0	1.0
