Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	-4.389385586600068	-0.19842623824589367
4.0	0.9042857142857144	-3.0509088670174043	-11.922102374349876
5.0	0.14285714285714285	6.562648773286492	-11.969377380881344
6.0	0.18571428571428572	0.7885477186411753	-5.724620812044292
7.0	0.9042857142857144	-6.775103300809559	-6.485555940572927
8.0	0.9042857142857144	10.90370044053212	0.7438341165830753
9.0	0.14142857142857143	11.0	-12.0
10.0	0.9042857142857144	-7.0	3.0
11.0	0.9042857142857144	-0.3971668881941111	3.0
12.0	0.9042857142857144	-7.0	-12.0
