Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	6.895050401561109	2.063518670704598
4.0	0.9042857142857144	-2.4927748295737913	-12.0
5.0	0.8114285714285716	-2.0918340446281123	-8.284987426045591
6.0	0.9042857142857144	-6.985257793211425	-1.162258994507619
7.0	0.9042857142857144	-5.8057350146538225	-6.334098195239349
8.0	0.13999999999999999	5.549366705037597	-10.158546699938617
9.0	0.9042857142857144	-2.020395932032976	0.4456269093863572
10.0	0.8614285714285714	1.7320592755788267	-2.6374451294827423
11.0	0.25857142857142856	6.274662456433754	-5.229460498888579
12.0	0.13428571428571429	8.254502336578836	-7.306855287472009
