Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	-3.1317133754016817	-8.215777933655477
4.0	0.9042857142857144	-6.35996873795691	0.8314299919895394
5.0	0.14142857142857143	5.502773789627627	-11.995944633800368
6.0	0.87	0.8101903519946063	-2.430137441333178
7.0	0.1385714285714286	10.837054805384312	-9.081787151549834
8.0	0.9042857142857144	-7.0	-12.0
9.0	0.9042857142857144	11.0	3.0
10.0	0.9042857142857144	-7.0	-4.58189457556501
11.0	0.9042857142857144	-1.5609135015611124	3.0
12.0	0.12999999999999998	4.3942206923789655	-7.587361411407684
