Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	0.22480620155038755	0.25863305	20.0	30.0	2.0	2.0
2.0	0.14470284237726094	0.73705968	60.0	60.0	3.0	5.0
3.0	0.2919896639286702	0.24158193207906664	10.0	10.0	2.0	1.0
4.0	0.4599483204134367	0.24158193207906664	10.0	20.0	2.0	5.0
5.0	0.2609819121447028	0.24158193207906664	10.0	30.0	5.0	1.0
6.0	0.22480620155038755	0.24158193207906664	10.0	40.0	2.0	1.0
7.0	0.46770025839793283	0.24158193207906664	10.0	50.0	2.0	4.0
8.0	0.23772609819121449	0.24158193207906664	10.0	60.0	2.0	1.0
9.0	0.4211886303369389	0.24158193207906664	10.0	70.0	2.0	4.0
10.0	0.5762273901808785	0.24158193207906664	10.0	80.0	2.0	1.0
11.0	0.4108527130242774	0.24158193207906664	10.0	90.0	2.0	4.0
12.0	0.4108527131782945	0.24158193207906664	10.0	100.0	2.0	1.0
