Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	-4.182180666526169	-6.389589116019179
4.0	0.9042857142857144	-5.57274998049075	2.7288289462503794
5.0	0.1742857142857143	4.327258544244987	-11.979466114305279
6.0	0.8957142857142858	1.265413723283098	-2.156174663854584
7.0	0.13857142857142857	10.97926838183534	-10.034219839386035
8.0	0.9042857142857144	-7.0	-12.0
9.0	0.9042857142857144	11.0	3.0
10.0	0.9042857142857144	-7.0	-2.163803495390348
11.0	0.9042857142857144	-1.6663764267411076	-12.0
12.0	0.9042857142857144	-0.3920154672637275	3.0
