Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.30571428571428577	-1.2054306759155153	-7.579117356313049
4.0	0.9042857142857144	-5.46514084329331	1.2766964659338296
5.0	0.14142857142857143	10.679138530858914	-11.974865195726718
6.0	0.9042857142857144	-6.981262459304775	-11.939905922152155
7.0	0.9014285714285715	1.0296477380849716	-1.7793348946926706
8.0	0.18285714285714286	3.839661180360997	-11.634869073304339
9.0	0.9042857142857144	-7.0	-4.0790643589738425
10.0	0.9042857142857144	11.0	0.1002259843537517
11.0	0.13714285714285715	11.0	-8.077277792754806
12.0	0.9042857142857144	-7.0	-8.411407301451376
