Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.2542857142857143	8.202228108315888	-5.254485597534519
4.0	0.9042857142857144	1.1753823216285024	-1.066853457049083
5.0	0.29	-1.328163903287332	-6.932124668570937
6.0	0.9042857142857144	9.64280114296561	0.6181090637621534
7.0	0.25285714285714284	-0.444977804200013	-8.285262887254802
8.0	0.14142857142857143	7.882359243021108	-11.904181187338798
9.0	0.18142857142857144	5.250637113972854	-5.874361941820529
10.0	0.3242857142857143	4.781790079738348	-4.895432399318929
11.0	0.9042857142857144	-3.190905569243718	-4.903966825153674
12.0	0.9042857142857144	-0.1295124216578003	-11.0744743251427
