Iteration	Y	var_1	var_2
1.0	0.6257142857142859	8.69844261	-4.12113258
2.0	0.9042857142857144	5.39363158	2.98316543
3.0	0.9042857142857144	-2.9910944784951727	-7.774834189500818
4.0	0.9042857142857144	-6.449819475101038	2.4151988575097985
5.0	0.1442857142857143	5.347027736917303	-11.933140639957063
6.0	0.9042857142857144	-0.16652373158608036	-1.6867170429311056
7.0	0.9042857142857144	-6.77930405796902	-3.2474906739325835
8.0	0.14142857142857143	11.0	-12.0
9.0	0.9042857142857144	-7.0	-12.0
10.0	0.9042857142857144	11.0	3.0
11.0	0.9042857142857144	-0.49212218505885547	-12.0
12.0	0.9042857142857144	-1.7136377680923556	3.0
